
> firefly@0.0.1 sweep
> tsx src/eval/sweep.ts --plans tower-5x4 --quick

sweep  plans=tower-5x4  modes=freeze,blind,saturate,flashover,mixed  k=1,2,3  targets=ignition,neighbor,far,random  onset=5  seeds=1,2  ticks=60  cells=120 x 4 brains
  12/120 cells
  24/120 cells
  36/120 cells
  48/120 cells
  60/120 cells
  72/120 cells
  84/120 cells
  96/120 cells
  108/120 cells
  120/120 cells

plan         mode       k   target    brain          falseCert  fc@P.9  coverage  wrongDisp   err C              ttr  ms/tick
tower-5x4    freeze     1   ignition  ours                  0%      0%       89%         0%     4.3        0.0 (2/2)     1.45
tower-5x4    freeze     1   ignition  kalman               76%     75%      100%        76%    16.8       22.0 (2/2)     0.30
tower-5x4    freeze     1   ignition  kalman-gated         83%     88%      100%        88%    48.7       36.0 (1/2)     0.23
tower-5x4    freeze     1   ignition  kalman-source         0%     10%       35%         0%    16.8        0.0 (2/2)     0.61

tower-5x4    freeze     1   neighbor  ours                  0%      0%       88%         0%     4.2        0.0 (2/2)     1.16
tower-5x4    freeze     1   neighbor  kalman               79%     75%       86%        76%    24.6       22.0 (2/2)     0.25
tower-5x4    freeze     1   neighbor  kalman-gated         83%     85%      100%        85%    44.1       36.0 (1/2)     0.20
tower-5x4    freeze     1   neighbor  kalman-source         0%     38%       29%        30%    25.0        0.0 (2/2)     0.61

tower-5x4    freeze     1   far       ours                  0%      0%       92%         0%     3.6        0.0 (2/2)     0.89
tower-5x4    freeze     1   far       kalman               81%     67%       59%        71%    28.2        8.0 (1/2)     0.22
tower-5x4    freeze     1   far       kalman-gated         88%     88%       91%        88%    53.8      never (0/2)     0.18
tower-5x4    freeze     1   far       kalman-source         0%     16%       40%        23%    43.4        0.0 (2/2)     0.57

tower-5x4    freeze     1   random    ours                  0%      0%       92%         0%     2.9        0.0 (2/2)     0.78
tower-5x4    freeze     1   random    kalman               78%     73%       79%        75%    18.6       22.0 (2/2)     0.25
tower-5x4    freeze     1   random    kalman-gated         85%     88%       91%        88%    54.6       36.0 (1/2)     0.19
tower-5x4    freeze     1   random    kalman-source         0%     28%       38%        25%    20.1        0.0 (2/2)     0.59

tower-5x4    freeze     2   ignition  ours                  0%      0%       89%         0%     4.3        0.0 (2/2)     0.64
tower-5x4    freeze     2   ignition  kalman               76%     75%      100%        76%    16.8       22.0 (2/2)     0.22
tower-5x4    freeze     2   ignition  kalman-gated         83%     88%      100%        88%    48.7       36.0 (1/2)     0.19
tower-5x4    freeze     2   ignition  kalman-source         0%     10%       35%         0%    16.8        0.0 (2/2)     0.56

tower-5x4    freeze     2   neighbor  ours                  0%      0%       88%         0%     4.2        0.0 (2/2)     0.62
tower-5x4    freeze     2   neighbor  kalman               79%     75%       86%        76%    24.6       22.0 (2/2)     0.22
tower-5x4    freeze     2   neighbor  kalman-gated         83%     85%      100%        85%    44.1       36.0 (1/2)     0.18
tower-5x4    freeze     2   neighbor  kalman-source         0%     38%       29%        30%    25.0        0.0 (2/2)     0.56

tower-5x4    freeze     2   far       ours                  0%      0%       92%         0%     3.6        0.0 (2/2)     0.62
tower-5x4    freeze     2   far       kalman               81%     67%       59%        71%    28.2        8.0 (1/2)     0.22
tower-5x4    freeze     2   far       kalman-gated         88%     88%       91%        88%    53.8      never (0/2)     0.18
tower-5x4    freeze     2   far       kalman-source         0%     16%       40%        23%    43.4        0.0 (2/2)     0.56

tower-5x4    freeze     2   random    ours                  0%      0%       91%         0%     3.7        0.0 (2/2)     0.81
tower-5x4    freeze     2   random    kalman               87%     72%       47%        73%    35.5        8.0 (1/2)     0.21
tower-5x4    freeze     2   random    kalman-gated         87%     86%       77%        86%    65.7      never (0/2)     0.16
tower-5x4    freeze     2   random    kalman-source         0%     38%       38%        37%    37.1        0.0 (2/2)     0.56

tower-5x4    freeze     3   ignition  ours                  0%      0%       89%         0%     4.3        0.0 (2/2)     0.72
tower-5x4    freeze     3   ignition  kalman               76%     75%      100%        76%    16.8       22.0 (2/2)     0.25
tower-5x4    freeze     3   ignition  kalman-gated         83%     88%      100%        88%    48.7       36.0 (1/2)     0.19
tower-5x4    freeze     3   ignition  kalman-source         0%     10%       35%         0%    16.8        0.0 (2/2)     0.60

tower-5x4    freeze     3   neighbor  ours                  0%      0%       88%         0%     4.2        0.0 (2/2)     0.62
tower-5x4    freeze     3   neighbor  kalman               79%     75%       86%        76%    24.6       22.0 (2/2)     0.22
tower-5x4    freeze     3   neighbor  kalman-gated         83%     85%      100%        85%    44.1       36.0 (1/2)     0.18
tower-5x4    freeze     3   neighbor  kalman-source         0%     38%       29%        30%    25.0        0.0 (2/2)     0.55

